@relation ThresholdCurve

@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
51,0,2091,0,1,1,0.02381,1,0.97619,0.046512,1,1,0
51,0,1910,181,0.913439,1,0.026007,1,0.973993,0.050696,0.9155,1.0923,0
51,0,1909,182,0.91296,1,0.02602,1,0.97398,0.050721,0.915033,1.092857,0
51,0,1908,183,0.912482,1,0.026034,1,0.973966,0.050746,0.914566,1.093415,0
51,0,1907,184,0.912004,1,0.026047,1,0.973953,0.050772,0.914099,1.093973,0
51,0,1906,185,0.911526,1,0.02606,1,0.97394,0.050797,0.913632,1.094532,0
51,0,1905,186,0.911047,1,0.026074,1,0.973926,0.050822,0.913165,1.095092,0
51,0,1904,187,0.910569,1,0.026087,1,0.973913,0.050847,0.912698,1.095652,0
51,0,1903,188,0.910091,1,0.0261,1,0.9739,0.050873,0.912232,1.096213,0
51,0,1902,189,0.909613,1,0.026114,1,0.973886,0.050898,0.911765,1.096774,0
51,0,1901,190,0.909134,1,0.026127,1,0.973873,0.050924,0.911298,1.097336,0
51,0,1900,191,0.908656,1,0.02614,1,0.97386,0.050949,0.910831,1.097899,0
51,0,1899,192,0.908178,1,0.026154,1,0.973846,0.050975,0.910364,1.098462,0
51,0,1898,193,0.9077,1,0.026167,1,0.973833,0.051,0.909897,1.099025,0
51,0,1897,194,0.907221,1,0.026181,1,0.973819,0.051026,0.90943,1.099589,0
51,0,1896,195,0.906743,1,0.026194,1,0.973806,0.051051,0.908964,1.100154,0
51,0,1895,196,0.906265,1,0.026208,1,0.973792,0.051077,0.908497,1.100719,0
51,0,1894,197,0.905787,1,0.026221,1,0.973779,0.051102,0.90803,1.101285,0
51,0,1893,198,0.905308,1,0.026235,1,0.973765,0.051128,0.907563,1.101852,0
51,0,1892,199,0.90483,1,0.026248,1,0.973752,0.051153,0.907096,1.102419,0
51,0,1891,200,0.904352,1,0.026262,1,0.973738,0.051179,0.906629,1.102987,0
51,0,1890,201,0.903874,1,0.026275,1,0.973725,0.051205,0.906162,1.103555,0
51,0,1889,202,0.903396,1,0.026289,1,0.973711,0.051231,0.905696,1.104124,0
51,0,1888,203,0.902917,1,0.026302,1,0.973698,0.051256,0.905229,1.104693,0
51,0,1887,204,0.902439,1,0.026316,1,0.973684,0.051282,0.904762,1.105263,0
51,0,1886,205,0.901961,1,0.026329,1,0.973671,0.051308,0.904295,1.105834,0
51,0,1885,206,0.901483,1,0.026343,1,0.973657,0.051334,0.903828,1.106405,0
51,0,1884,207,0.901004,1,0.026357,1,0.973643,0.05136,0.903361,1.106977,0
51,0,1883,208,0.900526,1,0.02637,1,0.97363,0.051385,0.902894,1.107549,0
51,0,1882,209,0.900048,1,0.026384,1,0.973616,0.051411,0.902428,1.108122,0
51,0,1881,210,0.89957,1,0.026398,1,0.973602,0.051437,0.901961,1.108696,0
51,0,1880,211,0.899091,1,0.026411,1,0.973589,0.051463,0.901494,1.10927,0
51,0,1879,212,0.898613,1,0.026425,1,0.973575,0.051489,0.901027,1.109845,0
51,0,1878,213,0.898135,1,0.026439,1,0.973561,0.051515,0.90056,1.11042,0
51,0,1877,214,0.897657,1,0.026452,1,0.973548,0.051541,0.900093,1.110996,0
51,0,1876,215,0.897178,1,0.026466,1,0.973534,0.051567,0.899627,1.111572,0
51,0,1875,216,0.8967,1,0.02648,1,0.97352,0.051593,0.89916,1.11215,0
51,0,1874,217,0.896222,1,0.026494,1,0.973506,0.051619,0.898693,1.112727,0
51,0,1873,218,0.895744,1,0.026507,1,0.973493,0.051646,0.898226,1.113306,0
51,0,1872,219,0.895265,1,0.026521,1,0.973479,0.051672,0.897759,1.113885,0
51,0,1871,220,0.894787,1,0.026535,1,0.973465,0.051698,0.897292,1.114464,0
51,0,1870,221,0.894309,1,0.026549,1,0.973451,0.051724,0.896825,1.115044,0
51,0,1869,222,0.893831,1,0.026562,1,0.973437,0.05175,0.896359,1.115625,0
51,0,1868,223,0.893352,1,0.026576,1,0.973424,0.051777,0.895892,1.116206,0
51,0,1867,224,0.892874,1,0.02659,1,0.97341,0.051803,0.895425,1.116788,0
51,0,1866,225,0.892396,1,0.026604,1,0.973396,0.051829,0.894958,1.117371,0
51,0,1865,226,0.891918,1,0.026618,1,0.973382,0.051856,0.894491,1.117954,0
51,0,1864,227,0.89144,1,0.026632,1,0.973368,0.051882,0.894024,1.118538,0
51,0,1863,228,0.890961,1,0.026646,1,0.973354,0.051908,0.893557,1.119122,0
51,0,1862,229,0.890483,1,0.02666,1,0.97334,0.051935,0.893091,1.119707,0
51,0,1861,230,0.890005,1,0.026674,1,0.973326,0.051961,0.892624,1.120293,0
51,0,1860,231,0.889527,1,0.026688,1,0.973312,0.051988,0.892157,1.120879,0
51,0,1859,232,0.889048,1,0.026702,1,0.973298,0.052014,0.89169,1.121466,0
51,0,1858,233,0.88857,1,0.026716,1,0.973284,0.052041,0.891223,1.122053,0
51,0,1857,234,0.888092,1,0.02673,1,0.97327,0.052067,0.890756,1.122642,0
51,0,1856,235,0.887614,1,0.026744,1,0.973256,0.052094,0.890289,1.12323,0
51,0,1855,236,0.887135,1,0.026758,1,0.973242,0.052121,0.889823,1.12382,0
51,0,1854,237,0.886657,1,0.026772,1,0.973228,0.052147,0.889356,1.124409,0
51,0,1853,238,0.886179,1,0.026786,1,0.973214,0.052174,0.888889,1.125,0
51,0,1852,239,0.885701,1,0.0268,1,0.9732,0.052201,0.888422,1.125591,0
51,0,1851,240,0.885222,1,0.026814,1,0.973186,0.052227,0.887955,1.126183,0
51,0,1850,241,0.884744,1,0.026828,1,0.973172,0.052254,0.887488,1.126775,0
51,0,1849,242,0.884266,1,0.026842,1,0.973158,0.052281,0.887021,1.127368,0
51,0,1848,243,0.883788,1,0.026856,1,0.973144,0.052308,0.886555,1.127962,0
