@relation keystroketouch

@attribute holdtime1 numeric
@attribute holdtime2 numeric
@attribute holdtime3 numeric
@attribute holdtime4 numeric
@attribute holdtime5 numeric
@attribute holdtime6 numeric
@attribute holdtime7 numeric
@attribute holdtime8 numeric
@attribute holdtime9 numeric
@attribute holdtime10 numeric
@attribute holdtime11 numeric
@attribute holdtime12 numeric
@attribute holdtime13 numeric
@attribute holdtime14 numeric
@attribute meanholdtime numeric
@attribute downdown1 numeric
@attribute downdown2 numeric
@attribute downdown3 numeric
@attribute downdown4 numeric
@attribute downdown5 numeric
@attribute downdown6 numeric
@attribute downdown7 numeric
@attribute downdown8 numeric
@attribute downdown9 numeric
@attribute downdown10 numeric
@attribute downdown11 numeric
@attribute downdown12 numeric
@attribute downdown13 numeric
@attribute updown1 numeric
@attribute updown2 numeric
@attribute updown3 numeric
@attribute updown4 numeric
@attribute updown5 numeric
@attribute updown6 numeric
@attribute updown7 numeric
@attribute updown8 numeric
@attribute updown9 numeric
@attribute updown10 numeric
@attribute updown11 numeric
@attribute updown12 numeric
@attribute updown13 numeric
@attribute pressure1 numeric
@attribute pressure2 numeric
@attribute pressure3 numeric
@attribute pressure4 numeric
@attribute pressure5 numeric
@attribute pressure6 numeric
@attribute pressure7 numeric
@attribute pressure8 numeric
@attribute pressure9 numeric
@attribute pressure10 numeric
@attribute pressure11 numeric
@attribute pressure12 numeric
@attribute pressure13 numeric
@attribute pressure14 numeric
@attribute meanpressure numeric
@attribute fingerarea1 numeric
@attribute fingerarea2 numeric
@attribute fingerarea3 numeric
@attribute fingerarea4 numeric
@attribute fingerarea5 numeric
@attribute fingerarea6 numeric
@attribute fingerarea7 numeric
@attribute fingerarea8 numeric
@attribute fingerarea9 numeric
@attribute fingerarea10 numeric
@attribute fingerarea11 numeric
@attribute fingerarea12 numeric
@attribute fingerarea13 numeric
@attribute fingerarea14 numeric
@attribute meanfingerarea numeric
@attribute user_id {AVPDC1453920470851,BCAGP1473894374971,CLCTS1465313707370,CUMNW1474058244371,DHHWR1475765890838,DIKGP1453844551675,DLLOM1474006822198,EDAGW1474342983455,EDOVQ1475860827798,ENWGZ1456340983141,ERUBI1473965265135,ERVXK1474427198667,EWBTU1473933862051,EWSIW1474328076853,FDXEC1473965497577,FENRB1473969967611,FHLUD1473917694606,FIOUH1474350182697,FQAKM1475081901324,FSKXM1454005496948,FZWQW1476421927842,GDZIP1454005762618,GGXBH1453838497442,GWIHW1476465997505,HAGOU1475625828047,HBMIT1454005479668,HGJKH1473969592472,HJHHE1453856096474,ILDOL1454011318559,IPYTV1458679545979,IZOLQ1453841031154,JAGZC1474304665870,JJGBK1473961686901,KAPYJ1474323465943,KXUQP1475625884884,KXVZW1454109424346,LCTRC1453838888167,LCVDT1454011031106,LDQRU1453903953090,LXCPZ1474340986007,MBPLF1474425166971,MFGAU1454018255304,NFDJB1476480175616,NHNOV1474142478624,NJLYB1474323228738,NMIBG1474342300226,NPZWQ1474441939987,NSAIW1475079804265,OHABS1461280789365,OIFVN1476480077660,OMACH1476230451266,PBLGH1461085653963,PMWDS1453830582003,PRLYI1467749423886,PZQXC1474354840851,QFQDO1475625720707,QKEXV1475861166942,QOSFH1478308272289,QQEZV1474307207083,RHJVX1475220922809,RLKYT1461276779716,RLXNA1455200829526,RNSTK1453999669695,RWOBB1474046647224,TAAMG1465498301206,TEONB1464095052350,TOEUO1471874628500,TRCYZ1474057936380,TUXUT1476542838093,UBUTG1475083829168,UBZKH1473972036768,UFMMK1460335568247,USVRF1474349667943,UWFGM1474316192667,VDVLZ1453840748473,VHWDI1474480727569,VJJDR1474258309704,WEZWT1473959706699,WGBTH1474320469237,WGNDL1474307137680,WQQTD1474335016559,WUDYW1474400258789,YRSME1473959185573,YSNTG1454097562268,YVQQP1474327696785,ZFCXE1476813184637,ZGVGM1463921205461,ZSCAG1458973691089}

@data
66,66,65,57,66,57,65,58,58,41,50,41,49,49,56.285714,424,649,341,615,450,732,474,624,541,773,608,299,383,358,583,276,558,384,675,409,566,483,732,558,258,334,0.575,0.5625,0.6125,0.6,0.5875,0.575,0.5875,0.5625,0.5625,0.55,0.5625,0.3125,0.475,0.5375,0.547321,0.266667,0.266667,0.333333,0.333333,0.266667,0.266667,0.266667,0.266667,0.266667,0.2,0.266667,0.2,0.266667,0.266667,0.266667,AVPDC1453920470851
49,50,50,58,50,58,50,41,22,50,50,49,50,41,47.714286,259,678,210,242,645,963,444,3165,558,201,277,318,184,210,628,160,184,595,905,394,3124,536,151,227,269,134,0.575,0.5625,0.575,0.625,0.575,0.575,0.6625,0.5625,0.3125,0.6,0.5875,0.575,0.575,0.575,0.566964,0.266667,0.266667,0.266667,0.333333,0.333333,0.266667,0.4,0.266667,0.266667,0.333333,0.266667,0.266667,0.266667,0.266667,0.290476,BCAGP1473894374971
58,66,58,66,41,50,50,41,50,25,58,67,33,83,53.285714,251,1540,184,410,385,779,193,435,527,536,201,243,1030,193,1474,126,344,344,729,143,394,477,511,143,176,997,0.6,0.5625,0.575,0.6,0.575,0.575,0.6125,0.5625,0.5625,0.5875,0.5875,0.575,0.55,0.575,0.578571,0.333333,0.266667,0.266667,0.333333,0.266667,0.266667,0.333333,0.266667,0.266667,0.333333,0.333333,0.266667,0.266667,0.266667,0.290476,BCAGP1473894374971
24,84,100,83,49,74,49,50,33,49,75,41,8,42,54.357143,527,679,209,210,1632,846,200,855,595,376,210,234,318,503,595,109,127,1583,772,151,805,562,327,135,193,310,0.575,0.5625,0.5625,0.625,0.575,0.55,0.6625,0.525,0.4,0.6,0.6125,0.55,0.35,0.5625,0.550893,0.266667,0.266667,0.266667,0.333333,0.266667,0.266667,0.4,0.266667,0.2,0.333333,0.333333,0.266667,0.266667,0.266667,0.285714,BCAGP1473894374971
32,67,50,66,42,24,33,50,66,41,58,50,24,58,47.214286,284,628,160,1540,595,2285,184,461,486,234,201,235,393,252,561,110,1474,553,2261,151,411,420,193,143,185,369,0.5625,0.5625,0.5875,0.6375,0.575,0.4625,0.5875,0.5875,0.6,0.575,0.6,0.5625,0.5625,0.5625,0.573214,0.266667,0.2,0.266667,0.333333,0.266667,0.266667,0.333333,0.266667,0.266667,0.266667,0.333333,0.266667,0.266667,0.266667,0.27619,BCAGP1473894374971
50,75,25,42,50,58,41,75,58,41,67,42,33,49,50.428571,328,914,193,596,756,991,201,697,521,931,336,1159,613,278,839,168,554,706,933,160,622,463,890,269,1117,580,0.575,0.5625,0.5625,0.6,0.5625,0.55,0.6125,0.55,0.575,0.6375,0.5875,0.55,0.55,0.5625,0.574107,0.266667,0.266667,0.266667,0.333333,0.266667,0.2,0.333333,0.266667,0.266667,0.333333,0.266667,0.266667,0.2,0.266667,0.271429,BCAGP1473894374971
33,58,33,33,50,41,41,75,67,33,58,67,16,33,45.571429,210,1326,193,437,1159,1393,504,579,588,949,176,596,361,177,1268,160,404,1109,1352,463,504,521,916,118,529,345,0.525,0.55,0.575,0.5875,0.575,0.3875,0.6125,0.5625,0.55,0.6125,0.575,0.575,0.2625,0.5625,0.536607,0.266667,0.2,0.266667,0.266667,0.266667,0.2,0.333333,0.266667,0.266667,0.333333,0.266667,0.266667,0.2,0.266667,0.261905,BCAGP1473894374971
50,67,49,16,41,33,42,58,67,49,67,42,58,41,48.571429,277,824,277,235,1410,881,185,738,1251,436,201,311,227,227,757,228,219,1369,848,143,680,1184,387,134,269,169,0.575,0.4125,0.5875,0.525,0.575,0.3875,0.6,0.55,0.5,0.6125,0.5875,0.5625,0.5875,0.5625,0.544643,0.266667,0.2,0.333333,0.266667,0.266667,0.266667,0.333333,0.266667,0.266667,0.333333,0.266667,0.266667,0.266667,0.266667,0.27619,BCAGP1473894374971
41,66,55,58,58,59,66,59,50,41,58,66,75,50,57.285714,269,3625,467,227,419,672,369,1050,579,2192,453,143,386,228,3559,412,169,361,613,303,991,529,2151,395,77,311,0.5625,0.55,0.6375,0.6125,0.5875,0.5625,0.65,0.5625,0.55,0.6125,0.6125,0.575,0.575,0.5625,0.586607,0.266667,0.266667,0.333333,0.333333,0.266667,0.266667,0.4,0.266667,0.266667,0.333333,0.333333,0.266667,0.266667,0.266667,0.295238,BCAGP1473894374971
33,58,50,50,33,33,41,75,67,33,66,50,84,7,48.571429,244,1024,445,235,487,1041,1276,377,622,6411,226,235,773,211,966,395,185,454,1008,1235,302,555,6378,160,185,689,0.425,0.5,0.625,0.5875,0.575,0.4125,0.6,0.5625,0.5625,0.5875,0.625,0.4375,0.5625,0.3625,0.530357,0.266667,0.266667,0.333333,0.266667,0.266667,0.266667,0.333333,0.266667,0.266667,0.333333,0.333333,0.266667,0.2,0.2,0.27619,BCAGP1473894374971
